Reference,Sample.frame.appropriate,Study.participants.sampled.appropriately,Sample.size.adequate,Study.subjects.and.setting.described.in.detail,Data.analysis.with.sufficient.coverage,Valid.methods.for.identification.of.condition,Condition.measured.in.standard.reliable.way,Appropriate.statistical.analysis,Response.rate.adequate.or.managed.appropriately,Overall,Low,Unclear,High,High+Unclear
Majiya et al. (16),High,Low,High,Low,Unclear,Low,Unclear,Low,Unclear,Low,4,3,2,5
Cao et al. (17),Low,Low,Low,Low,Low,Unclear,Low,Low,Low,Low,8,1,0,1
Malani et al. (18),Low,Low,Low,Low,Unclear,Low,Unclear,Low,Unclear,Low,6,3,0,3
Shakiba et al. (19),High,Low,Low,Low,Low,High,Low,Low,Low,Low,7,0,2,2
Nawa et al. (20),Low,Low,High,Low,High,Low,Unclear,Unclear,High,Low,4,2,3,5
Qutob et al. (21),Low,Low,Not applicable,Low,High,Low,Low,Low,Low,Low,7,0,1,1
Petersen et al. (22),Low,Low,High,Low,Unclear,Low,Unclear,Low,Low,Low,6,2,1,3
Riley et al. (23),Low,Low,Low,Low,High,Low,High,Low,High,Low,6,0,3,3
Ward et al. (24),Low,Low,Low,Low,Unclear,Low,High,Low,High,Low,6,1,2,3
Weis et al. (25),Low,Low,Low,Low,Low,Low,Unclear,Low,Low,Low,8,1,0,1
Merkely et al. (26),Low,Low,Low,Low,Low,Low,Unclear,Low,Low,Low,8,1,0,1
Gudbjartsson et al. (27),Unclear,Unclear,High,Low,Unclear,Low,Low,Low,High,Low,4,3,2,5
Pagani et al. (28),Low,Low,Low,Low,Low,Unclear,Low,Low,Low,Low,8,1,0,1
Lavezzo et al. (29),Low,Low,Low,Low,Low,Low,Unclear,Low,Low,Low,8,1,0,1
Snoeck et al. (30),Low,Low,Low,Low,Unclear,Low,Unclear,Low,Unclear,Low,6,3,0,3
Vodičar et al. (31),Low,Low,High,Low,High,Low,Low,Low,High,Low,6,0,3,3
Pollán et al. (32),Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,9,0,0,0
Brotons et al. (33),Low,Low,Low,High,Low,Low,Unclear,Low,High,Low,6,1,2,3
Lundkvist et al. (34),Low,Unclear,High,Low,Unclear,Low,Unclear,Unclear,Unclear,Unclear,3,5,1,6
Roxhed et al. (35),Unclear,Unclear,Low,Low,Low,Low,High,Low,High,Low,5,2,2,4
Stringhini et al. (36),Low,Low,Low,Low,Low,Low,Unclear,Low,High,Low,7,1,1,2
Sood et al. (37),Low,Low,Low,Low,Unclear,Low,Unclear,Low,High,Low,6,2,1,3
Bendavid et al. (38),High,High,Low,Low,High,Low,Low,Low,Low,Low,6,0,3,3
Mahajan et al. (39),Low,Low,Low,Low,Unclear,Low,Unclear,Low,High,Low,6,2,1,3
Biggs et al. (40),High,Low,Low,Low,High,Low,Low,Low,High,Low,6,0,3,3
McLaughlin et al. (41),High,High,Low,Low,Low,Low,Low,Low,Low,Low,7,0,2,2
Menachemi et al. (42),Low,Low,Low,Low,High,Low,Low,Low,High,Low,7,0,2,2
Feehan et al. (43),Low,Low,Low,Low,Unclear,Low,Unclear,Low,Low,Low,7,2,0,2
Feehan et al. (44),Low,Low,Low,Low,Low,Low,Unclear,Unclear,Low,Low,7,2,0,2
Figar et al. (45),High,Unclear,Low,Low,Unclear,Low,Low,Low,Unclear,Low,5,3,1,4
Hallal et al. (46),High,Low,Low,Low,Low,Low,Unclear,Low,Low,Low,7,1,1,2
Gomes et al. (47),Low,Low,Low,Low,Unclear,Low,Low,Low,Unclear,Low,7,2,0,2
da Silva et al. (48),Low,Low,Low,Low,High,Low,Low,Low,Low,Low,8,0,1,1
Vieira et al. (49),Low,Low,High,High,Unclear,Low,Unclear,Unclear,Unclear,Unclear,3,4,2,6
Silveira et al. (50),High,Low,High,Low,Low,Low,Unclear,Low,Low,Low,6,1,2,3
Tess et al. (51),Low,Low,Low,Low,Low,Low,Unclear,Low,Low,Low,8,1,0,1
Calife et al. (52),Low,Low,Low,Low,Unclear,Low,Low,Low,Unclear,Low,7,2,0,2